,DatasetID,Exp_Name,Condition,Level,Triplicate,Exp1ImputeRMSEAcc,Exp2ImputeModel,Exp2train_explained_var,Exp2train_r2,Exp2train_rmse,Exp2ori_explained_var,Exp2ori_r2,Exp2ori_rmse,Exp2impute_explained_var,Exp2impute_r2,Exp2impute_rmse,Exp2RegressorModel,Exp2duration,Exp2inference_duration,Exp3train_explained_var,Exp3train_r2,Exp3train_rmse,Exp3ori_explained_var,Exp3ori_r2,Exp3ori_rmse,Exp3impute_explained_var,Exp3impute_r2,Exp3impute_rmse,Exp3ImputeModel,Exp3ImputeRMSEAcc,Exp3RegressorModel,Exp3duration,Exp3inference_duration
43,189,reg_full_,MNAR_,0.5_,2/,0.19972589509597258,VAE,0.026324519136220692,0.026324519136220692,0.26117829256251757,0.033809095861637384,0.030801650101,0.25512235205264555,0.002621513785703744,0.002391035126892427,0.2588346107613326,LGBMRegressor,2292.7021539211273,0.008867502212524414,0.27197025332943514,0.25968161852307947,0.2277399536127568,0.623253891827223,0.5844750276628683,0.1670477928238495,0.2396698055641444,0.22186978082668984,0.22859583745958628,SimpleImputer,0.28908333945282294,MLPRegressor,8046.087761640549,0.03191661834716797
44,189,reg_full_,MCAR_,0.01_,2/,0.2870914810651449,KNNImputer,0.9553539125141253,0.9552471885646654,0.055993823404407166,0.9230195555609625,0.9229826044105198,0.07191783274034366,0.9068821868701042,0.9068408449253583,0.07909607766762859,MLPRegressor,9455.795460700989,0.018105030059814453,0.9581544334123181,0.9581283248406952,0.0541614309014716,0.9250564922246527,0.9250363908299981,0.07095245403323147,0.9090009588278802,0.9089911972806912,0.07817787791086711,IterativeImputer,0.2793105145560033,MLPRegressor,13461.745857954025,0.047133445739746094
45,189,reg_full_,MCAR_,0.1_,2/,0.27794122311103375,IterativeImputer,0.7587312852641279,0.758412357648175,0.13009701118171452,0.8739548189961275,0.8739539433394777,0.09200402107792567,0.7038118159522585,0.7025257876427857,0.1413405701145951,MLPRegressor,7440.901212453842,0.014373302459716797,0.7517446562979255,0.7512454862022611,0.13201261882026555,0.8768184766726311,0.8767361343307022,0.09098296146459099,0.705872225795562,0.7042283027719334,0.14093552702224896,IterativeImputer,0.3008360279948154,MLPRegressor,7463.860465526581,0.022800922393798828
46,189,reg_full_,MCAR_,0.3_,2/,0.24126288757505465,VAE,0.008584007323613863,0.00858396291732788,0.26354690577602463,0.01756838374582126,0.017311983328962444,0.25689166122347135,0.004703674647564604,0.004471302032470703,0.25856459645007634,ARDRegression,1679.40464925766,0.002703428268432617,0.5744048757220362,0.5744048757220347,0.17267453035781577,0.6099910800787403,0.60911218866074,0.16201985581843115,0.3586326867543955,0.35863197157662996,0.20753714144931526,IterativeImputer,0.2886952955619131,HistGradientBoostingRegressor,6398.690700292587,0.02573394775390625
47,189,reg_full_,MCAR_,0.5_,2/,0.20168626912282966,VAE,0.0027864544573462657,0.0027864575386047363,0.26431636072917725,0.010320294146893283,0.010082632003835301,0.25783486847706477,0.002093320284528577,0.0018857717514038086,0.2589001466148271,ARDRegression,2271.147834777832,0.002872943878173828,0.28696000474359884,0.282867591280329,0.224145299768734,0.6089515265016892,0.5898598892030559,0.16596186222719492,0.25339305904504583,0.24829602013624252,0.2246806139430579,SimpleImputer,0.2883205595344144,MLPRegressor,9422.850645780563,0.010123729705810547
48,189,reg_simple_,MAR_,0.01_,3/,0.2829346042206698,SimpleImputer,0.9434034387624222,0.9433126794618036,0.06301920588649579,0.9277938934298059,0.9275856793380315,0.06973557842356405,0.9213367783260711,0.9210875249476348,0.07279725603250703,MLPRegressor,9183.162444114685,0.014269351959228516,0.9430582490351215,0.9394403856174008,0.06513606404655296,0.9295039143466549,0.9252091405792457,0.07087065375478614,0.9234698781300796,0.9189233695471946,0.0737887277971483,SimpleImputer,0.28514215663383513,MLPRegressor,7335.112317562103,0.01315927505493164
49,189,reg_simple_,MAR_,0.1_,3/,0.28566431802583697,SimpleImputer,0.8563220729848863,0.8552854101171422,0.10068994893398837,0.908491614152349,0.9062053829486362,0.07936538629089009,0.7913174059069185,0.7904880196419674,0.11861691046949287,MLPRegressor,3645.7547805309296,0.017218828201293945,0.8583511884939682,0.8560727439976784,0.10041566860520328,0.9074985654593836,0.9023406019158985,0.08098399531714229,0.7923592899397004,0.789534754485832,0.11888645362459417,SimpleImputer,0.2809504743577172,MLPRegressor,8787.106073617935,0.023897647857666016
50,189,reg_simple_,MAR_,0.3_,3/,0.2821244187699666,SimpleImputer,0.7016487560936088,0.7014446849405586,0.14462466470217916,0.867373149343384,0.8655782763066697,0.09501166026317877,0.6137597590080424,0.6134929846905715,0.16110939530969287,MLPRegressor,5601.234174966812,0.013859033584594727,0.6613582454521019,0.661340764956996,0.15403216619091412,0.846250356102965,0.8458322465604141,0.10175106159704422,0.6112609781794272,0.6112226011682312,0.16158188936019577,SimpleImputer,0.29004694025522815,MLPRegressor,8527.301675081253,0.014404058456420898
51,189,reg_simple_,MAR_,0.5_,3/,0.2720137379497108,SimpleImputer,0.6501366275285076,0.650136603246037,0.1565594243002362,0.8422345357981061,0.8420338153777084,0.10299692086079364,0.3098517759519036,0.305290772877961,0.21599500636687188,MLPRegressor,8317.52377653122,0.008686542510986328,0.6715760897409664,0.6705187452890833,0.1519306224429734,0.8571091226271745,0.8559634677088166,0.09835093786556987,0.31201379023406994,0.30127506511648416,0.21661837723601557,SimpleImputer,0.2913132816332565,MLPRegressor,8360.42628622055,0.021806716918945312
52,189,reg_simple_,MNAR_,0.01_,3/,0.2874574997607448,SimpleImputer,0.9354208543958107,0.935171064036359,0.06739294085953458,0.9246906350633479,0.9239740982189713,0.07145341125057564,0.8906285588581389,0.890182948878707,0.08587703982121446,MLPRegressor,5648.567809343338,0.01571059226989746,0.9391211218479891,0.9389985455028235,0.06537324705240787,0.9253289060146282,0.9253012561666123,0.07082699666007411,0.8907694672915047,0.890661813838269,0.08568959883061182,SimpleImputer,0.2919040363068219,MLPRegressor,8617.439823627472,0.023623943328857422
