,DatasetID,Exp_Name,Condition,Level,Triplicate,Exp1ImputeRMSEAcc,Exp2ImputeModel,Exp2train_auroc,Exp2train_accuracy,Exp2train_balanced_accuracy,Exp2train_logloss,Exp2train_f1,Exp2ori_auroc,Exp2ori_accuracy,Exp2ori_balanced_accuracy,Exp2ori_logloss,Exp2ori_f1,Exp2impute_auroc,Exp2impute_accuracy,Exp2impute_balanced_accuracy,Exp2impute_logloss,Exp2impute_f1,Exp2ClassifierModel,Exp2duration,Exp2inference_duration,Exp3train_auroc,Exp3train_accuracy,Exp3train_balanced_accuracy,Exp3train_logloss,Exp3train_f1,Exp3ori_auroc,Exp3ori_accuracy,Exp3ori_balanced_accuracy,Exp3ori_logloss,Exp3ori_f1,Exp3impute_auroc,Exp3impute_accuracy,Exp3impute_balanced_accuracy,Exp3impute_logloss,Exp3impute_f1,Exp3ImputeModel,Exp3ImputeRMSEAcc,Exp3ClassifierModel,Exp3duration,Exp3inference_duration
49,6,class_simple_,MAR_,0.1_,3/,0.165990265495031,SimpleImputer,1.0,1.0,1.0,4.381034156567042e-05,1.0,0.9996705337261784,0.96525,0.9652427719871558,0.12019307587223392,0.9651866853971118,0.9991879694252608,0.9445,0.9445674176044011,0.20437083393096112,0.9444498838835423,HistGradientBoostingClassifier,5471.650017499924,0.4312126636505127,1.0,1.0,1.0,2.2552308896464126e-05,1.0,0.9996604436970286,0.96475,0.9646882684477665,0.11967560163854828,0.964653054578544,0.9993087605659804,0.945,0.945013245857722,0.19411312743242023,0.9449418045484114,SimpleImputer,0.15467368254543684,HistGradientBoostingClassifier,5529.268887996674,0.5079324245452881
50,6,class_simple_,MAR_,0.3_,3/,0.16110207908552007,SimpleImputer,1.0,1.0,1.0,2.0914976354855305e-05,1.0,0.999483087712417,0.95775,0.9576944279458565,0.15556509199421029,0.9576724029742517,0.9766582556110491,0.733,0.7319956298268109,1.4357606441890967,0.7351423475501396,HistGradientBoostingClassifier,5098.1957840919495,0.5221834182739258,1.0,1.0,1.0,0.004125693069604244,1.0,0.9994658759803244,0.9565,0.9564708871465162,0.14568001649374154,0.9565417813966239,0.9749908811164938,0.70475,0.7046547169155647,1.3534668129877858,0.711844602269917,SimpleImputer,0.15835054346084168,LGBMClassifier,4150.623435258865,7.56486701965332
51,6,class_simple_,MAR_,0.5_,3/,0.16104968368271338,SimpleImputer,1.0,1.0,1.0,1.7664001870924713e-05,1.0,0.9989980381149095,0.9435,0.943326578249333,0.2482112314678438,0.9435534640527562,0.9849443859771948,0.779,0.7782551189393417,1.1845257344326288,0.7773185758042277,HistGradientBoostingClassifier,3206.645746946335,0.5492763519287109,1.0,1.0,1.0,0.05256352974793359,1.0,0.9981165665111923,0.934,0.9338155968667892,0.5230058609205478,0.933954581867204,0.9885335811546333,0.82775,0.8269988917573918,1.0173913278185482,0.8276161054963371,SimpleImputer,0.15783875295945363,BaggingClassifier,5767.075315475464,0.42404985427856445
52,6,class_simple_,MNAR_,0.01_,3/,0.15859596151925248,SimpleImputer,1.0,1.0,1.0,1.911166396038594e-05,1.0,0.9996954140153849,0.96575,0.9657813081406557,0.11902190783452471,0.9657730025878591,0.9996273697682431,0.963,0.9630670500591696,0.13024513419441427,0.9630319264967623,HistGradientBoostingClassifier,6509.810814619064,0.46772122383117676,1.0,1.0,1.0,8.847644253313216e-06,1.0,0.9996654735086216,0.96725,0.9672136505343255,0.12263745951948317,0.9672715530721576,0.9995908050501636,0.9645,0.9644456869416458,0.1378804004151767,0.9644862644121287,SimpleImputer,0.14700326517826684,HistGradientBoostingClassifier,4569.239698171616,0.43739795684814453
53,6,class_simple_,MNAR_,0.1_,3/,0.14837299961868217,SimpleImputer,1.0,1.0,1.0,0.07069478610336988,1.0,0.9989329812326133,0.958,0.9579519413506079,0.44891877330544405,0.9579572312942095,0.9959571527638172,0.918,0.9180023348193486,0.6780433393493304,0.9181560322972522,BaggingClassifier,5254.64084482193,0.41633152961730957,1.0,1.0,1.0,2.5791359684915405e-05,1.0,0.9995735426353652,0.9655,0.9654344224190439,0.13151398278232773,0.9654655336871921,0.998490276228996,0.92325,0.9231132958659406,0.2875973981290406,0.9232340550102976,SimpleImputer,0.1517812633245681,HistGradientBoostingClassifier,4477.054361343384,0.4698951244354248
54,6,class_simple_,MNAR_,0.3_,3/,0.14231138570569143,SimpleImputer,0.9999999920309536,0.999875,0.9998780852727396,0.0002801466764783725,0.9998775003873501,0.9987170999158329,0.93275,0.9324550693786041,0.25567262801239155,0.9330090766594454,0.9863521026493545,0.77925,0.7787190340174773,0.9858219508379762,0.7797225923113922,HistGradientBoostingClassifier,6141.765439987183,0.6499357223510742,1.0,1.0,1.0,0.0003594061384648756,1.0,0.998974743192579,0.93775,0.9374963432851603,0.2191808321571205,0.9378704372025145,0.9897054542769107,0.79625,0.7957456933281531,0.7777134654588469,0.7969552162119375,SimpleImputer,0.1507407761972728,HistGradientBoostingClassifier,5246.8423545360565,0.6233422756195068
55,6,class_simple_,MNAR_,0.5_,3/,0.18200339326484433,SimpleImputer,0.9999999958801493,0.9999375,0.9999370514918796,0.04225491038435788,0.9999365816793203,0.9968134184719182,0.8915,0.8910540976814634,0.3680027998504347,0.8918186465040339,0.961011025551697,0.6,0.6001044686642586,1.3744815647381035,0.601045862195875,HistGradientBoostingClassifier,5988.4514009952545,0.6509757041931152,0.9999999958801493,0.9999375,0.9999361104012267,0.007394588560252852,0.9999365801275582,0.9966248292737601,0.88725,0.8867830385819452,0.37151876944788054,0.8875670191697431,0.9579050134706398,0.59975,0.5998024226431011,1.469970537587765,0.5999437619521728,SimpleImputer,0.15510857156506938,HistGradientBoostingClassifier,4096.216135025024,0.6664915084838867
56,6,class_simple_,MCAR_,0.01_,3/,0.15465469076296118,SimpleImputer,0.9999995352582012,0.9996875,0.9996867210321481,0.14836001162562212,0.9996864083995102,0.9996380131034873,0.96875,0.9687164789831803,0.3102574203503767,0.9687124144268832,0.9994708650467969,0.96275,0.9627029251000964,0.3411106566253533,0.9626998260087731,ExtraTreesClassifier,5147.601612091064,0.35126543045043945,1.0,1.0,1.0,0.0009418911829862714,1.0,0.9996541728269382,0.9635,0.9634359644608117,0.11526253388321824,0.9634816037490256,0.9994761588268078,0.9575,0.9574075171457263,0.14439838892811185,0.9574686907958111,SimpleImputer,0.1518233424258351,HistGradientBoostingClassifier,6005.091994524002,0.45354604721069336
57,6,class_simple_,MCAR_,0.1_,3/,0.1515820798249672,SimpleImputer,1.0,1.0,1.0,0.0001281020764593378,1.0,0.9995947636716976,0.96225,0.9621975089071503,0.13612754163428623,0.9622053926045443,0.9982532111797477,0.91075,0.9106647425813335,0.323568075567296,0.9108937632741928,HistGradientBoostingClassifier,6203.679420948029,0.5191073417663574,1.0,1.0,1.0,1.5247485805145025e-05,1.0,0.9996479680676651,0.96375,0.9637915713716235,0.13830334763861582,0.9636680280604406,0.9986125606632074,0.927,0.9269048380891084,0.30732217423204666,0.9268753161460934,SimpleImputer,0.152706001512621,HistGradientBoostingClassifier,5395.5689063072205,0.47862815856933594
58,6,class_simple_,MCAR_,0.3_,3/,0.14742963259947653,SimpleImputer,0.9999999959459802,0.9999375,0.9999363219561895,0.00014150008598288663,0.9999376337759297,0.9990602272741727,0.9345,0.9343525587613202,0.23582339773142816,0.934709019434269,0.9879916195505871,0.789,0.7887689760331862,0.946941975522934,0.7895110251262326,HistGradientBoostingClassifier,8231.687491178513,0.6106646060943604,1.0,1.0,1.0,7.669879737558416e-05,1.0,0.9991272650927239,0.93825,0.9379798810312128,0.2252333360660231,0.9383351007648464,0.9906664635713489,0.80925,0.8088072572847216,0.8274141599596687,0.8095992527403914,SimpleImputer,0.15440217595555195,HistGradientBoostingClassifier,4811.872786521912,0.5611109733581543
