,DatasetID,Exp_Name,Condition,Level,Triplicate,Exp1ImputeRMSEAcc,Exp2ImputeModel,Exp2train_auroc,Exp2train_accuracy,Exp2train_balanced_accuracy,Exp2train_logloss,Exp2train_f1,Exp2ori_auroc,Exp2ori_accuracy,Exp2ori_balanced_accuracy,Exp2ori_logloss,Exp2ori_f1,Exp2impute_auroc,Exp2impute_accuracy,Exp2impute_balanced_accuracy,Exp2impute_logloss,Exp2impute_f1,Exp2ClassifierModel,Exp2duration,Exp3train_auroc,Exp3train_accuracy,Exp3train_balanced_accuracy,Exp3train_logloss,Exp3train_f1,Exp3ori_auroc,Exp3ori_accuracy,Exp3ori_balanced_accuracy,Exp3ori_logloss,Exp3ori_f1,Exp3impute_auroc,Exp3impute_accuracy,Exp3impute_balanced_accuracy,Exp3impute_logloss,Exp3impute_f1,Exp3ImputeModel,Exp3ImputeRMSEAcc,Exp3ClassifierModel,Exp3duration
/6_class_simple_MNAR_0.3_2/,6,class_simple_,MNAR_,0.3_,2/,0.07923014434850298,SimpleImputer,1.0,1.0,1.0,6.662564959617678e-05,1.0,0.9982974435911062,0.927,0.9267310248450968,0.2811904063244242,0.9271428760445325,0.9865573739173986,0.778,0.7771110217127817,0.925349525506659,0.7794806297980174,HistGradientBoostingClassifier,11859.620342731476,1.0,1.0,1.0,0.01149089530382167,1.0,0.9946754328778064,0.899,0.8984143941971328,0.7760734126951304,0.8991683236023041,0.9734883193315155,0.7695,0.7687770389287808,1.3207756710477299,0.7704418854182713,SimpleImputer,0.08397815851073642,BaggingClassifier,9152.580999612808
/6_class_simple_MNAR_0.5_2/,6,class_simple_,MNAR_,0.5_,2/,0.10162784100108387,SimpleImputer,1.0,1.0,1.0,9.326781180284555e-05,1.0,0.9964269083087497,0.8855,0.8850642487262631,0.43647766963073414,0.8851016103611944,0.9578276819379015,0.6045,0.6043387650796977,1.7774898595529554,0.6048998588697821,HistGradientBoostingClassifier,12633.080651760101,1.0,1.0,1.0,6.754706913484385e-05,1.0,0.995939311550567,0.8805,0.8798756577908556,0.45923559135359854,0.8797674337936031,0.9565251673781929,0.6205,0.6200468136362896,1.83571108325286,0.6214446121174164,SimpleImputer,0.08444047667033473,HistGradientBoostingClassifier,11284.34630036354
/6_class_simple_MCAR_0.01_2/,6,class_simple_,MCAR_,0.01_,2/,0.0830597209941047,SimpleImputer,1.0,1.0,1.0,2.2204460492503136e-16,1.0,0.9968173934814076,0.9565,0.9560368481250769,0.3242126920166129,0.9563739607752373,0.9964964732376568,0.9535,0.952956688794062,0.3490576685065391,0.9534360463249434,KNeighborsClassifier,11340.906476259232,1.0,1.0,1.0,2.2204460492503136e-16,1.0,0.9943241335858877,0.95,0.9494978663126284,0.4602031241115087,0.949803228636174,0.9930057783638795,0.9485,0.9479705906289457,0.5512783134935874,0.9484256915205701,SimpleImputer,0.08428567847567202,KNeighborsClassifier,8995.887543916702
/6_class_simple_MCAR_0.1_2/,6,class_simple_,MCAR_,0.1_,2/,0.08137349380855351,SimpleImputer,1.0,1.0,1.0,1.1020917604518957e-05,1.0,0.9990642087295315,0.9425,0.9420999756114224,0.20370603173011861,0.9424438731231157,0.9977418043400026,0.906,0.9054086243277877,0.36895025592623626,0.9061518553422236,HistGradientBoostingClassifier,12719.071966171265,1.0,1.0,1.0,1.1981540418231808e-05,1.0,0.9990189032957721,0.9435,0.9430562993217056,0.22096113403422107,0.9434038164683982,0.9977946423653521,0.904,0.9033424500842765,0.3882408902196273,0.9042376300365894,SimpleImputer,0.08327259528592454,HistGradientBoostingClassifier,11106.317168712616
/6_class_simple_MCAR_0.3_2/,6,class_simple_,MCAR_,0.3_,2/,0.07987598039544527,SimpleImputer,1.0,1.0,1.0,4.547560072981571e-05,1.0,0.9983457489440698,0.919,0.9186267651617979,0.30421466179916,0.9190887093704485,0.9880876259932739,0.7965,0.7958099895831369,0.9224148965314178,0.7979653454478464,HistGradientBoostingClassifier,11952.265279531479,1.0,1.0,1.0,4.067977034707722e-05,1.0,0.9984516220486177,0.924,0.9235189746479008,0.3132568635063293,0.9244309393384506,0.9869857005254082,0.7915,0.7909844163936787,0.9993296365129849,0.7924168797721045,SimpleImputer,0.08346365291643494,HistGradientBoostingClassifier,12847.178257226944
/6_class_simple_MCAR_0.5_2/,6,class_simple_,MCAR_,0.5_,2/,0.10280828949344263,SimpleImputer,1.0,1.0,1.0,5.253237733561807e-05,1.0,0.9955072461343906,0.875,0.8744327144644716,0.5202615692858041,0.8752112558629329,0.95821607209369,0.6225,0.621986379793129,1.8289216060889038,0.623616697684149,HistGradientBoostingClassifier,11421.213515758514,1.0,1.0,1.0,9.255488615409393e-05,1.0,0.9955307872631581,0.878,0.8775724500940394,0.47926031057178187,0.8780266918299899,0.9590936589670069,0.619,0.6184640995054644,1.7079237279304624,0.6204570828262185,SimpleImputer,0.08375601067809295,HistGradientBoostingClassifier,12365.897700309753
/6_class_full_MAR_0.01_2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/6_class_full_MAR_0.1_2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/6_class_full_MAR_0.3_2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/6_class_full_MAR_0.5_2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/6_class_full_MNAR_0.01_2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/6_class_full_MNAR_0.1_2/,6,class_full_,MNAR_,0.1_,2/,0.0521831468587439,IterativeImputer,1.0,1.0,1.0,0.06278811770136661,1.0,0.9993254592095427,0.959,0.9586262856066228,0.33910367380507833,0.9590561986814534,0.9985187666526609,0.932,0.9314848103569766,0.39936784664197555,0.9322116950774063,ExtraTreesClassifier,8253.69998717308,1.0,1.0,1.0,2.2204460492503136e-16,1.0,0.9940405945281628,0.9525,0.9521777756728871,0.4981502894293975,0.952484749346076,0.9898129612929314,0.938,0.9375592304881633,0.7936515554122273,0.9379437956795444,KNNImputer,0.02510331717863541,KNeighborsClassifier,13529.56473493576
/6_class_full_MNAR_0.3_2/,6,class_full_,MNAR_,0.3_,2/,0.07735918278064323,IterativeImputer,1.0,1.0,1.0,2.018521014269594e-05,1.0,0.9987014901312281,0.9295,0.929041823929142,0.2552780519957787,0.9296117971025031,0.9887557981162521,0.8225,0.8218021950216282,0.8523170002762477,0.8237271324969432,HistGradientBoostingClassifier,12847.841906785965,1.0,1.0,1.0,0.0003305538015611735,1.0,0.9986524028225111,0.925,0.9242967183154408,0.25140292476169285,0.924667385607559,0.9910974125357174,0.8105,0.8098155965392683,0.6979204384626516,0.8114281938593624,KNNImputer,0.04848878680430314,HistGradientBoostingClassifier,15158.176972389221
/6_class_full_MNAR_0.5_2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/6_class_full_MCAR_0.01_2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/6_class_full_MCAR_0.1_2/,6,class_full_,MCAR_,0.1_,2/,0.04829019535134921,IterativeImputer,1.0,1.0,1.0,2.2204460492503136e-16,1.0,0.9959707791114618,0.954,0.9536010319280289,0.38600368818089015,0.9540208011077123,0.9929520393904175,0.9395,0.9391627433332166,0.6067532348816227,0.9396951288848044,KNeighborsClassifier,9384.085968017578,1.0,1.0,1.0,2.2204460492503136e-16,1.0,0.9965029331505029,0.9525,0.952150023404247,0.34850060122970933,0.9525602116290048,0.9938780469485233,0.942,0.9414845776848877,0.5325205044248671,0.942023629200734,KNNImputer,0.025818821644904632,KNeighborsClassifier,12450.52395105362
/6_class_full_MCAR_0.3_2/,6,class_full_,MCAR_,0.3_,2/,0.07979163025576332,SimpleImputer,1.0,1.0,1.0,4.3204687844801274e-05,1.0,0.9983832801104854,0.931,0.9307003147381199,0.30161278813307385,0.930980032449793,0.9883288878529601,0.799,0.7988046106966659,0.876167109639985,0.7990170968423239,HistGradientBoostingClassifier,12411.791531324387,1.0,1.0,1.0,5.650318076818217e-05,1.0,0.9987040126361586,0.9335,0.9327655135257736,0.24370124205937777,0.9333552325533615,0.9908986075492241,0.8205,0.8200430781873791,0.7559308793253369,0.8208626231852045,KNNImputer,0.04845063445013358,HistGradientBoostingClassifier,15043.312310218811
/6_class_full_MCAR_0.5_2/,6,class_full_,MCAR_,0.5_,2/,0.09810654706207192,IterativeImputer,1.0,1.0,1.0,0.00023892932832125585,1.0,0.997164536802691,0.898,0.8972501298638096,0.36871993157194166,0.8975501713080632,0.9458176198502896,0.6225,0.6219570200235043,1.9281424352409713,0.6259943034554146,HistGradientBoostingClassifier,11485.919695138931,1.0,1.0,1.0,7.921888879016415e-05,1.0,0.995638277366194,0.8845,0.8836438202749121,0.4480711192047717,0.8840420480793671,0.9598170622364287,0.6365,0.6359706462281961,1.599793547895591,0.6383756773456488,SimpleImputer,0.08361354518427856,HistGradientBoostingClassifier,14420.103106737137
/6_class_simple_MAR_0.01_1_3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/6_class_simple_MAR_0.1_3/,6,class_simple_,MAR_,0.1_,3/,0.08153168573046189,SimpleImputer,1.0,1.0,1.0,3.8624143280588174e-05,1.0,0.9993483677619065,0.953,0.9525778672676573,0.17631338679012673,0.9529130931773129,0.9979925162255243,0.9095,0.9090080003075555,0.3623617072690061,0.9091351531496061,HistGradientBoostingClassifier,8873.41698050499,1.0,1.0,1.0,2.2204460492503136e-16,1.0,0.9972488275288784,0.9495,0.9491140426085989,0.30753119775420235,0.9495184555103017,0.9947712090147689,0.932,0.9316726431565839,0.5004113674130056,0.9320498216930789,SimpleImputer,0.0817043302647388,KNeighborsClassifier,9026.496202468872
/6_class_simple_MAR_0.3_1_3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/6_class_simple_MAR_0.5_3/,6,class_simple_,MAR_,0.5_,3/,0.08445159071402623,SimpleImputer,1.0,1.0,1.0,1.618797981449944e-05,1.0,0.9983711549118036,0.9195,0.9188608006058201,0.29175925005964404,0.919697093269634,0.9606212201249361,0.6335,0.6336911049031416,1.7766640011692247,0.6287202713382471,HistGradientBoostingClassifier,10260.392025470734,1.0,1.0,1.0,0.00012082353206498721,1.0,0.9984324284596957,0.918,0.9173877047285713,0.28803783297047614,0.9179159632371539,0.9660283172447206,0.6325,0.6329381068030907,1.809254031143033,0.6285502469267656,SimpleImputer,0.08195769544467618,HistGradientBoostingClassifier,10440.90010523796
/6_class_simple_MNAR_0.01_3/,6,class_simple_,MNAR_,0.01_,3/,0.08449069866437597,SimpleImputer,1.0,1.0,1.0,2.2204460492503136e-16,1.0,0.9970757300044245,0.955,0.9546314655152622,0.3047223926586756,0.9549013989922348,0.9962823245672096,0.9515,0.9511462587389161,0.36177640244226,0.9514100737693841,KNeighborsClassifier,8319.070147752762,1.0,1.0,1.0,2.2204460492503136e-16,1.0,0.9970713250269474,0.9545,0.9541517304681612,0.3049535155943254,0.9544491849030206,0.996524514601965,0.9525,0.9521536785123033,0.3444055877644406,0.9524402902937001,SimpleImputer,0.08575508812960063,KNeighborsClassifier,10653.533331394196
/6_class_simple_MNAR_0.1_3/,6,class_simple_,MNAR_,0.1_,3/,0.07977823374985497,SimpleImputer,1.0,1.0,1.0,1.9306675265065087e-05,1.0,0.999494204403897,0.9535,0.9531266395937604,0.15497200877550746,0.953388944106221,0.9979606370401808,0.919,0.9185337005532443,0.31752418462849863,0.9190122389723872,HistGradientBoostingClassifier,13419.6489341259,1.0,1.0,1.0,5.589747237497331e-05,1.0,0.9994412050698428,0.9515,0.9511697377028566,0.15993441761790408,0.9514534458722196,0.9979771523117132,0.9235,0.9231086009321778,0.30222913684645597,0.9235052380239546,SimpleImputer,0.0841124869828835,HistGradientBoostingClassifier,10390.137340784073
